Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,1u,
"C10, C15, C16, C17, C19, C20, C21, C22, C3, C30, C31, C32, C33, C34, C5, C9",0603,16,0.1u,
"C11, C18, C23, C24, C35, C36, C37, C38, C39, C4, C7, C8",0805,12,1u,
"C12, C13, C14, C6",0603,4,0.01u,
D1,0805,1,LED,C72035
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D20, D5, D6, D7, D8, D9",0603,16,LED,C72038
"D2, D3",0805,2,LED,C73546
D21,D_SMC,1,B340-13-F,
D4,0805,1,LED,C83960
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole_Pad,
IC1,SOP65P1030X265-33N,1,MCZ33996EKR2,
IC2,SOIC127P600X175-8N,1,ADUM1250WSRZ-RL7,
"IC3, IC4, IC5, IC6",HSCDRRN001BDSA3,4,HSCDRRN001BDSA3,
J1,CUI_PJ-063AH,1,PJ-063AH,C2928097
"J10, J12, J14, J18, J21",878321010,5,87832-1010,
"J11, J13",SHDR2W64P0X254_1X2_737X660X1181P,2,0705430001,C5349069
"J15, J17, J20, J23",MOLEX_0533980671,4,0533980671,
"J16, J19, J22",SHDR2W64P0X254_1X2_737X660X1181P,3,0705430001,
"J2, J4",CONN_B6B-ZR-SM4-TF_JST,2,B6B-ZR-SM4-TF,
J3,ADS15AKGT4S,1,A-DS_15_A_KG-T4S,C3100941
J5,1860280,1,1860280,
J6,DIP-28_W15.24mm_Socket,1,Conn_02x14_Counter_Clockwise,
J7,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
J8,70543-0039_MOL,1,705430039,C588438
J9,CON_522712079_MOL,1,522712079,C588186
"JP1, JP2",SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm_NumberLabels,2,SolderJumper_3_Bridged12,
JP3,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,1,SolderJumper_2_Bridged,
"JP4, JP5, JP6",SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,3,SolderJumper_2_Open,
M1,Pump Mount,1,~,
"R1, R48",0603,2,0,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R6, R7, R8, R9",0402,16,3.3k,
R2,0603,1,20k,
"R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44",0402,23,10k,
R3,0603,1,5.6k,
"R4, R51, R52",0603,3,47k,
R45,0603,1,976k,
R46,0603,1,DNP,
R47,0603,1,102k,
"R49, R50, R53, R54, R55, R56, R57, R58, R59",0402,9,4.7k,
R5,0603,1,3k,
"S1, S4",2106MS,2,210-6MS,
"S2, S3",450301014042,2,450301014042,
SW1,SW4_D6C90F1LFS_CNK,1,D6C90F1LFS,
"TP1, TP2",TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,2,TestPoint_2Pole,
TP3,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,1,TestPoint,
U1,Disc_Pump_Driver_PCB,1,~,
"U10, U8, U9",SOT-6_SC_LIT,3,LTC4311CSC6-TRPBF,
U11,SOP65P640X120-16N,1,MAX3221,
U12,D16,1,CD4050BDR,
U13,SOT-363   US6_TOS,1,TC7PZ17FU,
U16,MSOP-10_MS_LIT,1,LTC4316CMS-TRPBF,
U2,Teensy 4.1,1,Teensy4.1,
U3,SOT-23-5,1,AP7366EA-33W5-7,
U4,D24V10FX,1,D24V10FX,
U5,D36V28Fx,1,~,
U6,SOT-6_SC_LIT-L,1,LTC4311CSC6-TRPBF,
U7,PW24,1,TCA9539PWR,
VR1,PTV09A4015FB103,1,PTV09A-4020U-B103,
