Designator,Mid X,Mid Y,Rotation,Layer
C1,53.914,-73.7925,0.0,top
C10,105.918,-115.062,0.0,top
C11,105.918,-116.84,0.0,top
C12,52.832,-89.395,270.0,top
C13,58.674,-107.188,90.0,top
C14,68.326,-89.421,270.0,top
C15,45.736,-36.855,0.0,top
C16,53.623,-35.331,90.0,top
C17,53.623,-32.283,90.0,top
C18,42.955,-35.265,90.0,top
C19,55.147,-35.839,270.0,top
C2,54.422,-79.3805,180.0,top
C20,55.147,-31.267,270.0,top
C21,51.562,-69.088,180.0,top
C22,46.275,-76.0,0.0,top
C23,51.308,-70.866,180.0,top
C24,45.955,-77.890001,0.0,top
C3,40.386,-104.394,0.0,top
C30,67.818,-109.233,270.0,top
C31,132.575,-97.282,180.0,top
C32,132.575,-77.216,180.0,top
C33,132.575,-57.15,180.0,top
C34,132.575,-37.084,180.0,top
C35,65.786,-109.408,270.0,top
C36,135.824,-97.028,0.0,top
C37,135.824,-76.962,0.0,top
C38,135.824,-56.896,0.0,top
C39,135.824,-36.83,0.0,top
C4,35.814,-110.744,270.0,top
C5,38.526,-40.513,0.0,top
C6,25.908,-35.433,90.0,top
C7,34.97,-40.513,180.0,top
C8,31.414,-40.513,0.0,top
C9,28.194,-40.386,180.0,top
D1,35.052,-77.47,90.0,top
D10,36.912,-119.888,270.0,top
D11,40.412,-119.888,270.0,top
D12,43.912,-119.888,270.0,top
D13,47.412,-119.888,270.0,top
D14,50.912,-119.888,270.0,top
D15,54.412,-119.888,270.0,top
D16,57.912,-119.888,270.0,top
D17,61.412,-119.888,270.0,top
D18,64.912,-119.888,270.0,top
D19,68.412,-119.888,270.0,top
D2,54.356,-70.866,90.0,top
D20,71.912,-119.888,270.0,top
D21,80.772,-20.828,270.0,top
D3,62.1265,-29.972,0.0,top
D4,52.07,-82.042,270.0,top
D5,19.412,-119.888,270.0,top
D6,22.912,-119.888,270.0,top
D7,26.412,-119.888,270.0,top
D8,29.912,-119.888,270.0,top
D9,33.412,-119.888,270.0,top
IC1,42.672,-110.998,0.0,top
IC2,34.29,-36.957,180.0,top
IC3,136.906,-40.894,180.0,top
IC4,136.906,-60.96,180.0,top
IC5,136.906,-81.026,180.0,top
IC6,136.906,-101.092,180.0,top
J1,63.246,-25.51,90.0,top
J10,64.01372,-49.897,270.0,top
J11,62.99772,-60.057,270.0,top
J12,53.31372,-49.897,270.0,top
J13,52.29772,-60.057,270.0,top
J14,42.61372,-49.897,270.0,top
J15,55.626,-93.8045,0.0,top
J16,41.59772,-60.057,270.0,top
J17,55.626,-102.982,180.0,top
J18,31.91372,-49.897,270.0,top
J19,30.89772,-60.057,270.0,top
J2,33.4035,-94.250001,90.0,top
J20,70.358,-93.7705,0.0,top
J21,21.21372,-49.897,270.0,top
J22,20.19772,-60.057,270.0,top
J23,70.358,-102.948,180.0,top
